Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
1.6,-9.512e-11,-7.354e-11,1.207e-10,0.05,-525651808.24222,-0.09512000000000001,120.7,-4.374999999999998e-11
1.62,-8.836e-11,-7.546e-11,1.6526e-10,0.05,-565866908.103214,-0.08836000000000001,165.26000000000002,1.3024999999999839e-10
1.64,-8.991e-11,-7.352e-11,1.7731e-10,0.05,-556111667.222778,-0.08991,177.31,1.5024999999999832e-10
1.66,-8.235e-11,-7.27e-11,2.065e-10,0.05,-607164541.590771,-0.08235,206.5,2.592499999999999e-10
1.68,-7.954e-11,-7.866e-11,1.6177e-10,0.05,-628614533.568016,-0.07954,161.77,0.0
1.7,-8.235e-11,-7.984e-11,1.3973e-10,0.05,-607164541.590771,-0.08235,139.73,-5.4500000000000174e-11
1.72,-8.172e-11,-8.102e-11,1.496e-10,0.05,-611845325.501713,-0.08172,149.6,-5.0749999999999644e-11
1.74,-8.438e-11,-7.646e-11,1.6539e-10,0.05,-592557478.075373,-0.08438,165.39000000000001,2.464999999999999e-10
1.76,-7.186e-11,-8.373e-11,1.9927e-10,0.05,-695797383.801837,-0.07186,199.27,2.1824999999999974e-10
1.78,-7.565e-11,-8.116e-11,1.7015e-10,0.05,-660938532.716457,-0.07565000000000001,170.15,3.199999999999989e-11
1.8,-7.058e-11,-9.159e-11,1.619e-10,0.05,-708415981.864551,-0.07058,161.9,-2.5749999999999834e-11
1.82,-7.668e-11,-8.951e-11,1.233e-10,0.05,-652060511.215441,-0.07668,123.3,-3.0999999999999996e-11
1.84,-7.182e-11,-9.231e-11,1.6388e-10,0.05,-696184906.711223,-0.07182000000000001,163.88,9.949999999999971e-11
1.86,-7.27e-11,-9.024e-11,1.7829e-10,0.05,-687757909.215956,-0.0727,178.29000000000002,1.6500000000000305e-10
1.88,-6.522e-11,-8.871e-11,2.0273e-10,0.05,-766636001.226618,-0.06522,202.73000000000002,2.6725000000000257e-10
1.9,-6.201e-11,-9.501e-11,1.6443e-10,0.05,-806321561.038542,-0.06201,164.43,3.375000000000001e-11
1.92,-6.387e-11,-9.742e-11,1.419e-10,0.05,-782840144.042586,-0.06387,141.9,-1.850000000000009e-11
1.94,-6.275e-11,-1.0002e-10,1.4458e-10,0.05,-796812749.003984,-0.06275,144.58,-1.3000000000000059e-11
1.96,-6.439e-11,-9.49e-11,1.661e-10,0.05,-776518092.871564,-0.06439,166.1,2.3200000000000003e-10
1.98,-5.347e-11,-1.021e-10,1.9829e-10,0.05,-935103796.521414,-0.05347,198.29,1.9999999999999972e-10
2.0,-5.639e-11,-9.929e-11,1.6792e-10,0.05,-886682035.821954,-0.056389999999999996,167.92,4.0749999999999885e-11
2.02,-5.184e-11,-1.1179e-10,1.6134e-10,0.05,-964506172.839506,-0.05184,161.34,-9.399999999999988e-11
2.04,-6.015e-11,-1.079e-10,1.2492e-10,0.05,-831255195.344971,-0.060149999999999995,124.91999999999999,-1.2499999999999905e-11
2.06,-5.234e-11,-1.1167e-10,1.664e-10,0.05,-955292319.449752,-0.05234,166.39999999999998,1.5249999999999984e-10
2.08,-5.405e-11,-1.0946e-10,1.7825e-10,0.05,-925069380.203515,-0.054049999999999994,178.25,2.0374999999999963e-10
2.1,-4.419e-11,-1.0929e-10,2.0575e-10,0.05,-1131477709.88912,-0.04419,205.75,3.1574999999999987e-10
2.12,-4.142e-11,-1.152e-10,1.6277e-10,0.05,-1207146306.1323,-0.04142,162.77,5.449999999999997e-11
2.14,-4.201e-11,-1.1873e-10,1.4314e-10,0.05,-1190192811.23542,-0.04201,143.14000000000001,-2.42500000000002e-11
2.16,-4.239e-11,-1.2165e-10,1.4056e-10,0.05,-1179523472.5171,-0.042390000000000004,140.56,-1.7999999999999938e-11
2.18,-4.273e-11,-1.1841e-10,1.6685e-10,0.05,-1170138076.293,-0.04273,166.85,3.134999999999998e-10
2.2,-2.985e-11,-1.2138e-10,2.0573e-10,0.05,-1675041876.0469,-0.029849999999999998,205.73,3.1299999999999975e-10
2.22,-3.021e-11,-1.2534e-10,1.6143e-10,0.05,-1655081098.97385,-0.030209999999999997,161.43,2.3750000000000047e-11
2.24,-2.89e-11,-1.3052e-10,1.4792e-10,0.05,-1730103806.22837,-0.0289,147.92,6.249999999998608e-12
2.26,-2.996e-11,-1.3428e-10,1.3074e-10,0.05,-1668891855.80774,-0.02996,130.74,-9e-11
2.28,-3.25e-11,-1.3275e-10,1.6557e-10,0.05,-1538461538.46154,-0.032499999999999994,165.57,1.664999999999999e-10
2.3,-2.33e-11,-1.3606e-10,1.9019e-10,0.05,-2145922746.78112,-0.0233,190.19,2.639999999999997e-10
2.32,-2.194e-11,-1.3417e-10,1.8259e-10,0.05,-2278942570.64722,-0.02194,182.59,1.9699999999999984e-10
2.34,-1.542e-11,-1.4713e-10,1.6473e-10,0.05,-3242542153.04799,-0.01542,164.73000000000002,-4.8750000000000064e-11
2.36,-2.389e-11,-1.4479e-10,1.2989e-10,0.05,-2092925910.42277,-0.02389,129.89000000000001,-3.2500000000000146e-12
2.38,-1.555e-11,-1.4974e-10,1.5829e-10,0.05,-3215434083.60129,-0.015550000000000001,158.29,1.8224999999999991e-10
2.4,-1.66e-11,-1.4572e-10,1.7013e-10,0.05,-3012048192.77108,-0.0166,170.13000000000002,2.9949999999999974e-10
2.42,-3.57e-12,-1.5216e-10,2.0726e-10,0.05,-14005602240.8964,-0.00357,207.26,2.689999999999998e-10
2.44,-5.84e-12,-1.5134e-10,1.663e-10,0.05,-8561643835.61644,-0.005840000000000001,166.3,1.367499999999999e-10
2.46,1.9e-12,-1.6091e-10,1.551e-10,0.05,26315789473.6842,0.0019,155.10000000000002,9.174999999999994e-11
2.48,-2.17e-12,-1.6255e-10,1.2424e-10,0.05,-23041474654.3779,-0.00217,124.24000000000001,-4.524999999999996e-11
2.5,9e-14,-1.6696e-10,1.6935e-10,0.05,555555555555.556,8.999999999999999e-05,169.35,1.7299999999999984e-10
2.52,4.75e-12,-1.6768e-10,1.8385e-10,0.05,10526315789.4737,0.00475,183.85,3.009999999999997e-10
2.54,1.213e-11,-1.6671e-10,1.9482e-10,0.05,4122011541.63232,0.01213,194.82,2.6549999999999976e-10
2.56,1.537e-11,-1.7715e-10,1.6267e-10,0.05,3253090435.91412,0.015370000000000002,162.67,-3.9999999999999345e-12
2.58,1.197e-11,-1.781e-10,1.3646e-10,0.05,4177109440.26733,0.01197,136.46,7.099999999999996e-11
2.6,1.821e-11,-1.8293e-10,1.5289e-10,0.05,2745744096.65019,0.01821,152.89000000000001,1.4124999999999985e-10
2.62,1.762e-11,-1.7862e-10,1.6677e-10,0.05,2837684449.48922,0.01762,166.77,3.2074999999999964e-10
2.64,3.104e-11,-1.8699e-10,2.017e-10,0.05,1610824742.26804,0.031039999999999998,201.70000000000002,2.837499999999998e-10
2.66,2.897e-11,-1.8773e-10,1.6516e-10,0.05,1725923369.00242,0.028970000000000003,165.16,1.112499999999999e-10
2.68,3.549e-11,-2.0007e-10,1.586e-10,0.05,1408847562.69372,0.03549,158.6,5.4249999999999994e-11
2.7,3.114e-11,-1.9935e-10,1.2302e-10,0.05,1605651894.66924,0.03114,123.02000000000001,6.799999999999997e-11
2.72,3.821e-11,-2.0514e-10,1.6698e-10,0.05,1308557969.11803,0.03821,166.98,2.0974999999999972e-10
2.74,3.953e-11,-2.0546e-10,1.8029e-10,0.05,1264862130.02783,0.039529999999999996,180.29,3.0600000000000846e-10
2.76,5.045e-11,-2.0668e-10,2.0037e-10,0.05,991080277.502478,0.050449999999999995,200.37,3.952500000000073e-10
2.78,5.534e-11,-2.1604e-10,1.6206e-10,0.05,903505601.734731,0.05534,162.06,1.2449999999999993e-10
2.8,5.543e-11,-2.1979e-10,1.4294e-10,0.05,902038607.25239,0.05543,142.94,9.47499999999997e-11
2.82,5.913e-11,-2.2498e-10,1.4795e-10,0.05,845594452.900389,0.059129999999999995,147.95,1.082499999999997e-10
